GAME_ID,GAME_DATE_EST,TEAM_ID_home,PTS_home,SEASON,TEAM_ID_away,PTS_away
857355,2022-10-18,2,126,2022,23,117
857356,2022-10-18,10,123,2022,14,109
857357,2022-10-19,12,107,2022,30,114
857358,2022-10-19,9,113,2022,22,109
857359,2022-10-19,3,108,2022,19,130
857360,2022-10-19,1,117,2022,11,107
857361,2022-10-19,16,108,2022,5,116
857362,2022-10-19,28,108,2022,6,105
857363,2022-10-19,15,115,2022,20,112
857364,2022-10-19,18,115,2022,21,108
857365,2022-10-19,24,107,2022,7,105
857366,2022-10-19,27,102,2022,4,129
857367,2022-10-19,29,123,2022,8,102
857368,2022-10-19,26,108,2022,25,115
857369,2022-10-20,14,97,2022,13,103
857370,2022-10-20,23,88,2022,17,90
857371,2022-10-21,3,109,2022,28,105
857372,2022-10-21,20,130,2022,9,106
857373,2022-10-21,12,134,2022,27,137
857374,2022-10-21,30,102,2022,5,100
857375,2022-10-21,16,104,2022,2,111
857376,2022-10-21,11,122,2022,15,129
857377,2022-10-21,10,123,2022,8,128
857378,2022-10-21,18,126,2022,29,132
857379,2022-10-21,4,112,2022,19,124
857380,2022-10-21,1,108,2022,22,98
857381,2022-10-21,25,113,2022,24,111
857382,2022-10-22,23,105,2022,27,114
857383,2022-10-22,5,96,2022,6,128
857384,2022-10-22,16,112,2022,28,109
857385,2022-10-22,22,120,2022,2,126
857386,2022-10-22,12,124,2022,9,115
857387,2022-10-22,26,109,2022,13,111
857388,2022-10-22,8,122,2022,21,117
857389,2022-10-22,17,125,2022,11,105
857390,2022-10-22,7,137,2022,15,96
857391,2022-10-23,14,104,2022,25,106
857392,2022-10-23,1,109,2022,4,126
857393,2022-10-23,6,117,2022,30,107
857394,2022-10-23,19,121,2022,29,122
857395,2022-10-23,13,95,2022,24,112
857396,2022-10-23,21,106,2022,18,116
857397,2022-10-23,10,130,2022,26,125
857398,2022-10-24,11,114,2022,29,108
857399,2022-10-24,16,90,2022,28,98
857400,2022-10-24,20,115,2022,22,102
857401,2022-10-24,18,106,2022,27,115
857402,2022-10-24,5,120,2022,2,102
857403,2022-10-24,23,120,2022,12,106
857404,2022-10-24,15,134,2022,3,124
857405,2022-10-24,25,135,2022,8,110
857406,2022-10-25,21,108,2022,13,94
857407,2022-10-25,30,120,2022,9,99
857408,2022-10-25,24,134,2022,10,105
857409,2022-10-25,19,113,2022,7,111
857410,2022-10-26,25,98,2022,16,119
857411,2022-10-26,8,110,2022,14,99
857412,2022-10-26,28,119,2022,23,109
857413,2022-10-26,6,103,2022,22,92
857414,2022-10-26,20,134,2022,4,131
857415,2022-10-26,5,124,2022,12,109
857416,2022-10-26,18,134,2022,27,122
857417,2022-10-26,17,110,2022,3,99
857418,2022-10-26,29,109,2022,11,101
857419,2022-10-26,9,113,2022,1,118
857420,2022-10-27,3,125,2022,7,129
857421,2022-10-27,26,110,2022,15,125
857422,2022-10-27,10,123,2022,16,110
857423,2022-10-27,21,118,2022,13,110
