game_id,game_date,game_home_team,game_home_team_score,game_season,game_visitor_team,game_visitor_team_score
857355,2022-10-18,Celtics,126,2022,76ers,117
857356,2022-10-18,Warriors,123,2022,Lakers,109
857357,2022-10-19,Pacers,107,2022,Wizards,114
857358,2022-10-19,Pistons,113,2022,Magic,109
857359,2022-10-19,Nets,108,2022,Pelicans,130
857360,2022-10-19,Hawks,117,2022,Rockets,107
857361,2022-10-19,Heat,108,2022,Bulls,116
857362,2022-10-19,Raptors,108,2022,Cavaliers,105
857363,2022-10-19,Grizzlies,115,2022,Knicks,112
857364,2022-10-19,Timberwolves,115,2022,Thunder,108
857365,2022-10-19,Suns,107,2022,Mavericks,105
857366,2022-10-19,Spurs,102,2022,Hornets,129
857367,2022-10-19,Jazz,123,2022,Nuggets,102
857368,2022-10-19,Kings,108,2022,Trail Blazers,115
857369,2022-10-20,Lakers,97,2022,Clippers,103
857370,2022-10-20,76ers,88,2022,Bucks,90
857371,2022-10-21,Nets,109,2022,Raptors,105
857372,2022-10-21,Knicks,130,2022,Pistons,106
857373,2022-10-21,Pacers,134,2022,Spurs,137
857374,2022-10-21,Wizards,102,2022,Bulls,100
857375,2022-10-21,Heat,104,2022,Celtics,111
857376,2022-10-21,Rockets,122,2022,Grizzlies,129
857377,2022-10-21,Warriors,123,2022,Nuggets,128
857378,2022-10-21,Timberwolves,126,2022,Jazz,132
857379,2022-10-21,Hornets,112,2022,Pelicans,124
857380,2022-10-21,Hawks,108,2022,Magic,98
857381,2022-10-21,Trail Blazers,113,2022,Suns,111
857382,2022-10-22,76ers,105,2022,Spurs,114
857383,2022-10-22,Bulls,96,2022,Cavaliers,128
857384,2022-10-22,Heat,112,2022,Raptors,109
857385,2022-10-22,Magic,120,2022,Celtics,126
857386,2022-10-22,Pacers,124,2022,Pistons,115
857387,2022-10-22,Kings,109,2022,Clippers,111
857388,2022-10-22,Nuggets,122,2022,Thunder,117
857389,2022-10-22,Bucks,125,2022,Rockets,105
857390,2022-10-22,Mavericks,137,2022,Grizzlies,96
857391,2022-10-23,Lakers,104,2022,Trail Blazers,106
857392,2022-10-23,Hawks,109,2022,Hornets,126
857393,2022-10-23,Cavaliers,117,2022,Wizards,107
857394,2022-10-23,Pelicans,121,2022,Jazz,122
857395,2022-10-23,Clippers,95,2022,Suns,112
857396,2022-10-23,Thunder,106,2022,Timberwolves,116
857397,2022-10-23,Warriors,130,2022,Kings,125
857398,2022-10-24,Rockets,114,2022,Jazz,108
857399,2022-10-24,Heat,90,2022,Raptors,98
857400,2022-10-24,Knicks,115,2022,Magic,102
857401,2022-10-24,Timberwolves,106,2022,Spurs,115
857402,2022-10-24,Bulls,120,2022,Celtics,102
857403,2022-10-24,76ers,120,2022,Pacers,106
857404,2022-10-24,Grizzlies,134,2022,Nets,124
857405,2022-10-24,Trail Blazers,135,2022,Nuggets,110
857406,2022-10-25,Thunder,108,2022,Clippers,94
857407,2022-10-25,Wizards,120,2022,Pistons,99
857408,2022-10-25,Suns,134,2022,Warriors,105
857409,2022-10-25,Pelicans,113,2022,Mavericks,111
857410,2022-10-26,Trail Blazers,98,2022,Heat,119
857411,2022-10-26,Nuggets,110,2022,Lakers,99
